Date Time, Water Temperature, X, N, R 
2018-08-18 00:00,87.8,0,0,0
2018-08-18 01:00,87.8,0,0,0
2018-08-18 02:00,87.6,0,0,0
2018-08-18 03:00,87.6,0,0,0
2018-08-18 04:00,87.6,0,0,0
2018-08-18 05:00,87.4,0,0,0
2018-08-18 06:00,87.3,0,0,0
2018-08-18 07:00,87.1,0,0,0
2018-08-18 08:00,86.9,0,0,0
2018-08-18 09:00,86.9,0,0,0
2018-08-18 10:00,86.9,0,0,0
2018-08-18 11:00,87.1,0,0,0
2018-08-18 12:00,87.3,0,0,0
2018-08-18 13:00,87.6,0,0,0
2018-08-18 14:00,88.2,0,0,0
2018-08-18 15:00,88.9,0,0,0
2018-08-18 16:00,89.4,0,0,0
2018-08-18 17:00,89.2,0,0,0
2018-08-18 18:00,89.2,0,0,0
2018-08-18 19:00,89.2,0,0,0
2018-08-18 20:00,89.2,0,0,0
2018-08-18 21:00,89.4,0,0,0
2018-08-18 22:00,89.6,0,0,0
2018-08-18 23:00,89.6,0,0,0
2018-08-19 00:00,89.6,0,0,0
2018-08-19 01:00,89.4,0,0,0
2018-08-19 02:00,89.4,0,0,0
2018-08-19 03:00,89.1,0,0,0
2018-08-19 04:00,88.9,0,0,0
2018-08-19 05:00,88.5,0,0,0
2018-08-19 06:00,88.3,0,0,0
2018-08-19 07:00,88.0,0,0,0
2018-08-19 08:00,88.0,0,0,0
2018-08-19 09:00,88.2,0,0,0
2018-08-19 10:00,88.0,0,0,0
2018-08-19 11:00,88.2,0,0,0
2018-08-19 12:00,88.2,0,0,0
2018-08-19 13:00,88.3,0,0,0
2018-08-19 14:00,88.7,0,0,0
2018-08-19 15:00,89.2,0,0,0
2018-08-19 16:00,89.6,0,0,0
2018-08-19 17:00,89.4,0,0,0
2018-08-19 18:00,89.4,0,0,0
2018-08-19 19:00,89.4,0,0,0
2018-08-19 20:00,89.4,0,0,0
2018-08-19 21:00,89.4,0,0,0
2018-08-19 22:00,89.4,0,0,0
2018-08-19 23:00,89.2,0,0,0
2018-08-20 00:00,88.7,0,0,0
2018-08-20 01:00,88.3,0,0,0
2018-08-20 02:00,88.3,0,0,0
2018-08-20 03:00,88.2,0,0,0
2018-08-20 04:00,88.2,0,0,0
2018-08-20 05:00,88.2,0,0,0
2018-08-20 06:00,88.2,0,0,0
2018-08-20 07:00,88.0,0,0,0
2018-08-20 08:00,88.0,0,0,0
2018-08-20 09:00,88.0,0,0,0
2018-08-20 10:00,88.0,0,0,0
2018-08-20 11:00,88.0,0,0,0
2018-08-20 12:00,88.0,0,0,0
2018-08-20 13:00,88.0,0,0,0
2018-08-20 14:00,88.5,0,0,0
2018-08-20 15:00,89.1,0,0,0
2018-08-20 16:00,89.4,0,0,0
2018-08-20 17:00,89.8,0,0,0
2018-08-20 18:00,90.0,0,0,0
2018-08-20 19:00,89.6,0,0,0
2018-08-20 20:00,89.4,0,0,0
2018-08-20 21:00,89.4,0,0,0
2018-08-20 22:00,89.4,0,0,0
2018-08-20 23:00,89.2,0,0,0
2018-08-21 00:00,89.2,0,0,0
2018-08-21 01:00,89.2,0,0,0
2018-08-21 02:00,89.2,0,0,0
2018-08-21 03:00,89.1,0,0,0
2018-08-21 04:00,89.1,0,0,0
2018-08-21 05:00,88.7,0,0,0
2018-08-21 06:00,88.9,0,0,0
2018-08-21 07:00,88.7,0,0,0
2018-08-21 08:00,88.7,0,0,0
2018-08-21 09:00,88.5,0,0,0
2018-08-21 10:00,88.5,0,0,0
2018-08-21 11:00,88.7,0,0,0
2018-08-21 12:00,88.7,0,0,0
2018-08-21 13:00,89.2,0,0,0
2018-08-21 14:00,89.4,0,0,0
2018-08-21 15:00,89.6,0,0,0
2018-08-21 16:00,90.0,0,0,0
2018-08-21 17:00,90.1,0,0,0
2018-08-21 18:00,90.1,0,0,0
2018-08-21 19:00,90.1,0,0,0
2018-08-21 20:00,90.1,0,0,0
2018-08-21 21:00,90.1,0,0,0
2018-08-21 22:00,90.0,0,0,0
2018-08-21 23:00,90.0,0,0,0
2018-08-22 00:00,89.8,0,0,0
2018-08-22 01:00,89.8,0,0,0
2018-08-22 02:00,89.8,0,0,0
2018-08-22 03:00,89.6,0,0,0
2018-08-22 04:00,89.4,0,0,0
2018-08-22 05:00,89.2,0,0,0
2018-08-22 06:00,89.2,0,0,0
2018-08-22 07:00,89.1,0,0,0
2018-08-22 08:00,89.1,0,0,0
2018-08-22 09:00,88.9,0,0,0
2018-08-22 10:00,88.9,0,0,0
2018-08-22 11:00,88.9,0,0,0
2018-08-22 12:00,88.9,0,0,0
2018-08-22 13:00,88.7,0,0,0
2018-08-22 14:00,88.9,0,0,0
2018-08-22 15:00,89.2,0,0,0
2018-08-22 16:00,89.6,0,0,0
2018-08-22 17:00,89.8,0,0,0
2018-08-22 18:00,90.0,0,0,0
2018-08-22 19:00,90.0,0,0,0
2018-08-22 20:00,90.1,0,0,0
